Date,Open,High,Low, Close,Volume
12/29/23,14,14,13.8,13.9,396700
12/28/23,13.9,14.1,13.6,13.7,5262500
12/27/23,13.55,14,13.5,13.6,14199200
12/22/23,13.8,13.8,13.5,13.55,1740200
12/21/23,13.8,13.8,13.5,13.55,5824300
12/20/23,13.5,13.8,13.5,13.5,6908500
12/19/23,13.9,13.9,13.4,13.5,11518300
12/18/23,14,14,13.5,13.85,5857300
12/15/23,14.4,14.45,13.7,14.1,753200
12/14/23,14.45,14.45,14.2,14.4,6830400
12/13/23,14.45,14.5,14.35,14.45,14879800
12/11/2023,14.55,14.55,14.35,14.5,1768900
12/08/2023,14.6,14.6,14.4,14.55,2899700
12/07/2023,14.9,14.9,14.4,14.55,1248800
12/06/2023,14.95,15.1,14.3,14.6,59683102
12/05/2023,14.55,15.2,14.5,14.8,8039500
12/04/2023,14.5,14.55,14,14.5,1972800
12/01/2023,14.2,14.4,14,14.05,1213300
11/30/23,13.9,14.45,13.8,14.05,16439400
11/29/23,14,14.2,13.75,14,9416400
11/28/23,13.95,14.4,13.7,14,13252700
11/27/23,13.75,13.8,13.35,13.45,2743600
11/24/23,13.7,13.75,13.65,13.7,219500
11/23/23,13.7,13.7,13.45,13.6,885500
11/22/23,13.5,14,13.45,13.7,3260900
11/21/23,13.5,13.8,13.3,13.45,4615700
11/20/23,13.45,13.5,13.05,13.4,2454400
11/17/23,13.5,13.55,13.05,13.45,7093700
11/16/23,13.95,14,13.3,13.5,3915000
11/15/23,13.95,13.95,13.45,13.5,6066600
11/14/23,13.5,14,13,13.3,1883200
11/10/2023,13.5,14.3,13.3,13.5,59099801
11/09/2023,13.15,13.75,12.95,13.3,17306000
11/08/2023,12.15,13.15,12.15,12.45,371700
11/07/2023,12,12.3,11.8,12,12695600
11/06/2023,11.65,12.05,11.5,11.95,3796900
11/03/2023,12,12,11.5,11.65,5888700
11/02/2023,12.5,12.5,11.95,12.1,705400
11/01/2023,12.45,12.5,12.2,12.3,811900
10/31/23,12.5,12.5,12.35,12.45,2338500
10/30/23,12.5,13,12.45,12.5,14855700
10/27/23,12.7,13.3,12.5,12.5,72111602
10/26/23,12.5,12.7,12.4,12.45,6886500
10/25/23,12.9,13,12.3,12.5,8052800
10/24/23,13.75,13.75,12.7,13,1458400
10/23/23,13.9,13.9,13,13.6,11962300
10/19/23,13.8,13.8,13.7,13.8,6356700
10/18/23,13.7,13.95,13.65,13.8,10979700
10/17/23,14,14,13.65,13.8,504600
10/16/23,14,14.2,13.8,13.95,1711200
10/13/23,14,14,13.85,13.95,900800
10/12/2023,14,14.35,13.85,14,1661300
10/11/2023,14.4,14.4,13.8,13.9,5405200
10/09/2023,14,14,13.8,14,809100
10/06/2023,14.3,14.65,13.85,14,48233398
10/05/2023,14.7,14.7,14.25,14.5,2483600
10/04/2023,15,15,14.55,14.65,574900
10/03/2023,14.7,14.8,14.6,14.7,2602000
10/02/2023,14.6,14.9,14.6,14.65,1919700
09/29/23,14.6,14.7,14.5,14.6,2270500
09/28/23,14.85,14.85,14.5,14.6,2383000
09/27/23,14.9,14.9,14.65,14.7,3180700
09/26/23,14.95,14.95,14.8,14.9,299700
09/25/23,15,15,14.8,14.95,2139000
09/22/23,15,15.3,14.9,15,8289600
09/21/23,15.25,15.3,14.85,14.95,1273300
09/20/23,15.5,15.5,14.95,15,32720500
09/19/23,15.7,15.7,15.2,15.4,935300
09/18/23,16,16,15.45,15.6,1446800
09/15/23,15.7,16,15.5,15.75,1722600
09/14/23,15.5,15.95,15.25,15.5,15168100
09/13/23,15.4,15.75,14.9,15.3,8023600
09/12/2023,16,16,15.25,15.35,1665700
09/11/2023,16,16,15.5,15.75,10124400
09/08/2023,15.3,16.2,15.3,15.5,8584700
09/07/2023,15.3,15.45,15.2,15.25,1374300
09/06/2023,15.2,15.3,15.05,15.1,23586000
09/05/2023,15.4,15.4,15.05,15.1,11102200
09/04/2023,15.3,15.3,15,15.1,802900
09/01/2023,15.4,15.4,14.9,15.1,2761200
08/31/23,15.7,15.7,15.2,15.4,1497600
08/30/23,15.5,15.7,15.4,15.5,5767600
08/29/23,15.5,15.5,15.35,15.45,1522500
08/28/23,15.5,15.5,15.4,15.45,3574900
08/25/23,15.75,15.75,15.3,15.5,671600
08/24/23,16,16,15.7,15.75,520900
08/23/23,15.85,15.95,15.2,15.55,3907600
08/22/23,15.9,16,15.8,15.9,1019800
08/21/23,16,16.25,15.85,15.95,975600
08/18/23,16,16.25,15.95,16,1575200
08/17/23,16,16.3,15.6,15.95,7023200
08/16/23,15.95,15.95,15,15,30962801
08/15/23,16,16,15.8,15.9,2795500
08/14/23,16.2,16.2,15.5,15.9,5431200
